study,questionnaire,question,item,dataset,variable,concept
soep-is,soep-is-2012-haupt,Q126,,MA12_IS_W4,astor,
soep-is,soep-is-2012-haupt,Q127,astor1,MA12_IS_W4,astor1,
soep-is,soep-is-2012-haupt,Q127,astor10,MA12_IS_W4,astor10,
soep-is,soep-is-2012-haupt,Q127,astor2,MA12_IS_W4,astor2,
soep-is,soep-is-2012-haupt,Q127,astor3,MA12_IS_W4,astor3,
soep-is,soep-is-2012-haupt,Q127,astor4,MA12_IS_W4,astor4,
soep-is,soep-is-2012-haupt,Q127,astor5,MA12_IS_W4,astor5,
soep-is,soep-is-2012-haupt,Q127,astor6,MA12_IS_W4,astor6,
soep-is,soep-is-2012-haupt,Q127,astor7,MA12_IS_W4,astor7,
soep-is,soep-is-2012-haupt,Q127,astor8,MA12_IS_W4,astor8,
soep-is,soep-is-2012-haupt,Q127,astor9,MA12_IS_W4,astor9,
soep-is,soep-is-2012-haupt,Q128,,MA12_IS_W4,aein1,
soep-is,soep-is-2012-haupt,Q129,aein1s,MA12_IS_W4,aein1s,
soep-is,soep-is-2012-haupt,Q13,,H12_IS_W4,hqm,
soep-is,soep-is-2012-haupt,Q130,abet1,MA12_IS_W4,abet1,
soep-is,soep-is-2012-haupt,Q130,abet2,MA12_IS_W4,abet2,
soep-is,soep-is-2012-haupt,Q130,abet3,MA12_IS_W4,abet3,
soep-is,soep-is-2012-haupt,Q130,abet4,MA12_IS_W4,abet4,
soep-is,soep-is-2012-haupt,Q130,abet5,MA12_IS_W4,abet5,
soep-is,soep-is-2012-haupt,Q130,abetka,MA12_IS_W4,abetka,
soep-is,soep-is-2012-haupt,Q131,,MB12_IS_W4,bein1,
soep-is,soep-is-2012-haupt,Q132,bein1s,MB12_IS_W4,bein1s,
soep-is,soep-is-2012-haupt,Q133,bbet1,MB12_IS_W4,bbet1,
soep-is,soep-is-2012-haupt,Q133,bbet2,MB12_IS_W4,bbet2,
soep-is,soep-is-2012-haupt,Q133,bbet3,MB12_IS_W4,bbet3,
soep-is,soep-is-2012-haupt,Q133,bbet4,MB12_IS_W4,bbet4,
soep-is,soep-is-2012-haupt,Q133,bbet5,MB12_IS_W4,bbet5,
soep-is,soep-is-2012-haupt,Q133,bbetka,MB12_IS_W4,bbetka,
