study,questionnaire,question,item,dataset,variable,concept
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_23,
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_4,
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_14,
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_26,
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_27,
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_22,
soep-is,soep-is-2012-aufwuchs,Q6drm,,DRM12_IS,Q6drm_30,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_9so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_1so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_18so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_17so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_6so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_12so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_20so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_11so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_4so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_14so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_3so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_23so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_19so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_22so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_5so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_21so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_16so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_28so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_10so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_27so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_30so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_25so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_24so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_29so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_2so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_7so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_8so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_15so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_13so,
soep-is,soep-is-2012-aufwuchs,Q6drm,q6drm_so,DRM12_IS,Q6drm_26so,
soep-is,soep-is-2012-aufwuchs,Q70,,L12_IS,lsta1a,
soep-is,soep-is-2012-aufwuchs,Q71,,L12_IS,lpnatnr,
soep-is,soep-is-2012-aufwuchs,Q71,,L12_IS,lpnat,
soep-is,soep-is-2012-aufwuchs,Q72,,L12_IS,lsta3,
soep-is,soep-is-2012-aufwuchs,Q74,,L12_IS,pp1a,
soep-is,soep-is-2012-aufwuchs,Q74,,P12_IS,pp1,
soep-is,soep-is-2012-aufwuchs,Q75,,P12_IS,ppnam,
soep-is,soep-is-2012-aufwuchs,Q75,,L12_IS,ppnam,
soep-is,soep-is-2012-aufwuchs,Q76,ppja,L12_IS,ppja,
soep-is,soep-is-2012-aufwuchs,Q77,,P12_IS,pp2,
soep-is,soep-is-2012-aufwuchs,Q77,,L12_IS,pp2a,
soep-is,soep-is-2012-aufwuchs,Q78,ppleb1a,L12_IS,ppleb1a,
soep-is,soep-is-2012-aufwuchs,Q79,,L12_IS,ppleba,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_11s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_13s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_10s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_20s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_3s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_4s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_12s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_18s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_17s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_1s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_5s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_7s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_24s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_21s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_6s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_8s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_19s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_30s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_15s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_9s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_29s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_22s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_14s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_25s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_23s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_16s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_27s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_28s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_26s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q7drm,DRM12_IS,Q7drm_2s,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_14e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_28e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_18e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_26e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_9e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_22e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_24e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_16e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_12e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_8e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_23e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_27e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_10e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_30e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_1e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_21e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_15e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_19e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_4e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_6e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_29e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_17e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_11e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_5e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_25e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_13e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_3e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_7e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_20e,
soep-is,soep-is-2012-aufwuchs,Q7drm,q8drm,DRM12_IS,Q8drm_2e,
soep-is,soep-is-2012-aufwuchs,Q80,pplebja,L12_IS,pplebja,
soep-is,soep-is-2012-aufwuchs,Q81,,L12_IS,pehe1a,
soep-is,soep-is-2012-aufwuchs,Q81b,pehe2a,L12_IS,pehe2a,
soep-is,soep-is-2012-aufwuchs,Q81c,,FM12_IS,fm14,
soep-is,soep-is-2012-aufwuchs,Q83,,L12_IS,pp1b,
soep-is,soep-is-2012-aufwuchs,Q83,,L12_IS,pp1c,
soep-is,soep-is-2012-aufwuchs,Q83,,L12_IS,pp1d,
soep-is,soep-is-2012-aufwuchs,Q84,ppjb,L12_IS,ppjd,
soep-is,soep-is-2012-aufwuchs,Q84,ppjb,L12_IS,ppjc,
soep-is,soep-is-2012-aufwuchs,Q84,ppjb,L12_IS,ppjb,
soep-is,soep-is-2012-aufwuchs,Q85,ppendb,L12_IS,ppendc,
soep-is,soep-is-2012-aufwuchs,Q85,ppendb,L12_IS,ppendb,
soep-is,soep-is-2012-aufwuchs,Q85,ppendb,L12_IS,ppendd,
soep-is,soep-is-2012-aufwuchs,Q86,,L12_IS,ppend2c,
soep-is,soep-is-2012-aufwuchs,Q86,,L12_IS,ppend2b,
soep-is,soep-is-2012-aufwuchs,Q86,,L12_IS,ppend2d,
soep-is,soep-is-2012-aufwuchs,Q87,,L12_IS,ppleb1d,
soep-is,soep-is-2012-aufwuchs,Q87,,L12_IS,ppleb1b,
soep-is,soep-is-2012-aufwuchs,Q87,,L12_IS,ppleb1c,
soep-is,soep-is-2012-aufwuchs,Q88,ppleb2b,L12_IS,ppleb2c,
soep-is,soep-is-2012-aufwuchs,Q88,ppleb2b,L12_IS,ppleb2b,
soep-is,soep-is-2012-aufwuchs,Q88,ppleb2b,L12_IS,ppleb2d,
soep-is,soep-is-2012-aufwuchs,Q89,ppleb3b,L12_IS,ppleb3d,
soep-is,soep-is-2012-aufwuchs,Q89,ppleb3b,L12_IS,ppleb3b,
soep-is,soep-is-2012-aufwuchs,Q89,ppleb3b,L12_IS,ppleb3c,
soep-is,soep-is-2012-aufwuchs,Q89,ppleb4b,L12_IS,ppleb4b,
soep-is,soep-is-2012-aufwuchs,Q89,ppleb4b,L12_IS,ppleb4c,
soep-is,soep-is-2012-aufwuchs,Q89,ppleb4b,L12_IS,ppleb4d,
soep-is,soep-is-2012-aufwuchs,Q9,hwj,H12_IS,hwj,
soep-is,soep-is-2012-aufwuchs,Q9,hwm,H12_IS,hwm,
soep-is,soep-is-2012-aufwuchs,Q90,,L12_IS,pehe1d,
soep-is,soep-is-2012-aufwuchs,Q90,,L12_IS,pehe1b,
soep-is,soep-is-2012-aufwuchs,Q90,,L12_IS,pehe1c,
soep-is,soep-is-2012-aufwuchs,Q91,pehe2b,L12_IS,pehe2b,
soep-is,soep-is-2012-aufwuchs,Q91,pehe2b,L12_IS,pehe2c,
soep-is,soep-is-2012-aufwuchs,Q91,pehe2b,L12_IS,pehe2d,
soep-is,soep-is-2012-aufwuchs,Q92,,L12_IS,pehe3c,
soep-is,soep-is-2012-aufwuchs,Q92,,L12_IS,pehe3d,
soep-is,soep-is-2012-aufwuchs,Q92,,L12_IS,pehe3b,
soep-is,soep-is-2012-aufwuchs,Q93,pehe4b,L12_IS,pehe4d,
soep-is,soep-is-2012-aufwuchs,Q93,pehe4b,L12_IS,pehe4c,
soep-is,soep-is-2012-aufwuchs,Q93,pehe4b,L12_IS,pehe4b,
soep-is,soep-is-2012-aufwuchs,Q94,,L12_IS,pehe1e,
soep-is,soep-is-2012-aufwuchs,Q95,pehe2e,L12_IS,pehe2e,
soep-is,soep-is-2012-aufwuchs,Q96,,L12_IS,pehe5e,
soep-is,soep-is-2012-aufwuchs,Q97,pehe6e,L12_IS,pehe6e,
soep-is,soep-is-2012-aufwuchs,Q98,,L12_IS,pehe7e,
soep-is,soep-is-2012-aufwuchs,Q99_Q100,lgeka,L12_IS,lgeka,
soep-is,soep-is-2012-aufwuchs,Q99_Q100,lgesch1,L12_IS,lgesch1,
soep-is,soep-is-2012-aufwuchs,Q99_Q100,lgesch2,L12_IS,lgesch2,
soep-is,soep-is-2012-aufwuchs,Q99_Q100,lgesch3,L12_IS,lgesch3,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_3,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_27,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_28,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_4,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_5,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_30,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_18,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_6,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_19,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_7,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_22,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_21,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_24,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_29,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_17,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_23,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_1,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_9,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_25,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_26,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_14,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_8,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_13,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_2,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_12,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_15,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_20,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_10,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_16,
soep-is,soep-is-2012-aufwuchs,Q9drm,,DRM12_IS,Q9drm_11,
soep-is,soep-is-2012-aufwuchs,VOR_ADAPT,,notdirectlydelivered12a,vor_adapt,
soep-is,soep-is-2012-aufwuchs,Vorfin1,,FM12_IS,vorfin1,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01c,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01j,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01i,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01d,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01f,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01a,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01b,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01h,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01g,
soep-is,soep-is-2012-aufwuchs,VorQ191,,MEM12_IS,mem01e,
soep-is,soep-is-2012-aufwuchs,Wum1,,151023_wuma_2012_IS_Aufwuchs,WUMA1,
soep-is,soep-is-2012-aufwuchs,Wum2,,151023_wuma_2012_IS_Aufwuchs,WUMA2,
soep-is,soep-is-2012-aufwuchs,Wum3,,151023_wuma_2012_IS_Aufwuchs,WUMA3,
soep-is,soep-is-2012-aufwuchs,Wum4,1,151023_wuma_2012_IS_Aufwuchs,WUMA401,
soep-is,soep-is-2012-aufwuchs,Wum4,2,151023_wuma_2012_IS_Aufwuchs,WUMA402,
soep-is,soep-is-2012-aufwuchs,Wum4,3,151023_wuma_2012_IS_Aufwuchs,WUMA403,
soep-is,soep-is-2012-aufwuchs,Wum4,4,151023_wuma_2012_IS_Aufwuchs,WUMA04SO,
soep-is,soep-is-2012-aufwuchs,Wum4,5,151023_wuma_2012_IS_Aufwuchs,WUMA404,
soep-is,soep-is-2012-aufwuchs,Wum4,6,151023_wuma_2012_IS_Aufwuchs,WUMA4_KA,
soep-is,soep-is-2012-aufwuchs,Wum5,,151023_wuma_2012_IS_Aufwuchs,WUMA5,
soep-is,soep-is-2012-aufwuchs,Wum6,,151023_wuma_2012_IS_Aufwuchs,WUMA6,
soep-is,soep-is-2012-aufwuchs,Wum7,,151023_wuma_2012_IS_Aufwuchs,WUMA7,
soep-is,soep-is-2012-haupt,A000C,lgeb,P12_IS_W4,ppgeb,
soep-is,soep-is-2012-haupt,A000C,lgeb,L12_IS_W4,lgeb,
soep-is,soep-is-2012-haupt,A000C,lgebmo,L12_IS_W4,lgebmo,
soep-is,soep-is-2012-haupt,A000C,lgebmo,P12_IS_W4,ppgebmo,
soep-is,soep-is-2012-haupt,A000C,lsex,P12_IS_W4,psex,
soep-is,soep-is-2012-haupt,A000C,lsex,L12_IS_W4,lsex,
soep-is,soep-is-2012-haupt,A000C,name,H12_IS_W4,name,
soep-is,soep-is-2012-haupt,A000C,name,DRM12_IS_W4,name,
soep-is,soep-is-2012-haupt,A000C,name,CSM12_IS_W4,name,
soep-is,soep-is-2012-haupt,A000C,name,L12_IS_W4,name,
soep-is,soep-is-2012-haupt,A000C,name,P12_IS_W4,name,
soep-is,soep-is-2012-haupt,IATVOR,,notdirectlydelivered12,IAT,
soep-is,soep-is-2012-haupt,Q10,,H12_IS_W4,hheim,
soep-is,soep-is-2012-haupt,Q100,ppleb2b,L12_IS_W4,ppleb2c,
soep-is,soep-is-2012-haupt,Q100,ppleb2b,L12_IS_W4,ppleb2b,
soep-is,soep-is-2012-haupt,Q100,ppleb2b,L12_IS_W4,ppleb2d,
soep-is,soep-is-2012-haupt,Q101,ppleb3b,L12_IS_W4,ppleb3c,
soep-is,soep-is-2012-haupt,Q101,ppleb3b,L12_IS_W4,ppleb3d,
soep-is,soep-is-2012-haupt,Q101,ppleb3b,L12_IS_W4,ppleb3b,
soep-is,soep-is-2012-haupt,Q101,ppleb4b,L12_IS_W4,ppleb4d,
soep-is,soep-is-2012-haupt,Q101,ppleb4b,L12_IS_W4,ppleb4c,
soep-is,soep-is-2012-haupt,Q101,ppleb4b,L12_IS_W4,ppleb4b,
soep-is,soep-is-2012-haupt,Q102,,L12_IS_W4,pehe1c,
soep-is,soep-is-2012-haupt,Q102,,L12_IS_W4,pehe1b,
soep-is,soep-is-2012-haupt,Q102,,L12_IS_W4,pehe1d,
soep-is,soep-is-2012-haupt,Q103,pehe2b,L12_IS_W4,pehe2d,
soep-is,soep-is-2012-haupt,Q103,pehe2b,L12_IS_W4,pehe2c,
soep-is,soep-is-2012-haupt,Q103,pehe2b,L12_IS_W4,pehe2b,
soep-is,soep-is-2012-haupt,Q104,,L12_IS_W4,pehe3c,
soep-is,soep-is-2012-haupt,Q104,,L12_IS_W4,pehe3b,
soep-is,soep-is-2012-haupt,Q104,,L12_IS_W4,pehe3d,
soep-is,soep-is-2012-haupt,Q105,pehe4b,L12_IS_W4,pehe4b,
soep-is,soep-is-2012-haupt,Q105,pehe4b,L12_IS_W4,pehe4d,
soep-is,soep-is-2012-haupt,Q105,pehe4b,L12_IS_W4,pehe4c,
soep-is,soep-is-2012-haupt,Q106,,L12_IS_W4,pehe1e,
soep-is,soep-is-2012-haupt,Q107,pehe2e,L12_IS_W4,pehe2e,
soep-is,soep-is-2012-haupt,Q108,,L12_IS_W4,pehe5e,
soep-is,soep-is-2012-haupt,Q109,pehe6e,L12_IS_W4,pehe6e,
soep-is,soep-is-2012-haupt,Q11,,H12_IS_W4,hwohn09,
soep-is,soep-is-2012-haupt,Q110,,L12_IS_W4,pehe7e,
soep-is,soep-is-2012-haupt,Q111,,L12_IS_W4,lgesch1,
soep-is,soep-is-2012-haupt,Q112,lgeka,L12_IS_W4,lgeka,
soep-is,soep-is-2012-haupt,Q112,lgesch2,L12_IS_W4,lgesch2,
soep-is,soep-is-2012-haupt,Q112,lgesch3,L12_IS_W4,lgesch3,
soep-is,soep-is-2012-haupt,Q113,lgesch5,L12_IS_W4,lgesch5,
soep-is,soep-is-2012-haupt,Q113,lgesch6,L12_IS_W4,lgesch6,
soep-is,soep-is-2012-haupt,Q113,lgesch7,L12_IS_W4,lgesch7,
soep-is,soep-is-2012-haupt,Q113,lgesch8,L12_IS_W4,lgesch8,
soep-is,soep-is-2012-haupt,Q114,lkh03,L12_IS_W4,lkh03,
soep-is,soep-is-2012-haupt,Q114,lkh04,L12_IS_W4,lkh04,
soep-is,soep-is-2012-haupt,Q114,lkh05,L12_IS_W4,lkh05,
soep-is,soep-is-2012-haupt,Q114,lkh06,L12_IS_W4,lkh06,
soep-is,soep-is-2012-haupt,Q114,lkh07,L12_IS_W4,lkh07,
soep-is,soep-is-2012-haupt,Q114,lkh08,L12_IS_W4,lkh08,
soep-is,soep-is-2012-haupt,Q114,lkh09,L12_IS_W4,lkh09,
soep-is,soep-is-2012-haupt,Q114,lkh10,L12_IS_W4,lkh10,
soep-is,soep-is-2012-haupt,Q114,lkhka,L12_IS_W4,lkhka,
soep-is,soep-is-2012-haupt,Q115,,L12_IS_W4,lwied,
soep-is,soep-is-2012-haupt,Q116,,L12_IS_W4,l2wohn1,
soep-is,soep-is-2012-haupt,Q117,,L12_IS_W4,l2wohn3,
soep-is,soep-is-2012-haupt,Q118,k1,notdirectlydelivered12,kwohn1,
soep-is,soep-is-2012-haupt,Q118,k2,notdirectlydelivered12,kwohn2,
soep-is,soep-is-2012-haupt,Q118,k3,notdirectlydelivered12,kwohn3,
soep-is,soep-is-2012-haupt,Q118,k4,notdirectlydelivered12,kwohn4,
soep-is,soep-is-2012-haupt,Q119,,H12_IS_W4,hkind,
soep-is,soep-is-2012-haupt,Q12.1,,H12_IS_W4,hwohn09a,
soep-is,soep-is-2012-haupt,Q12.1,,notdirectlydelivered12,hwohn09a_1972,
soep-is,soep-is-2012-haupt,Q12.2,,notdirectlydelivered12,hwohn09a_1981,
soep-is,soep-is-2012-haupt,Q12.3,,notdirectlydelivered12,hwohn09a_1991,
soep-is,soep-is-2012-haupt,Q12.4,,notdirectlydelivered12,hwohn09a_2001,
soep-is,soep-is-2012-haupt,Q12.5,,notdirectlydelivered12,hwohn09a_2011,
soep-is,soep-is-2012-haupt,Q120a,5,notdirectlydelivered12,q120a,
soep-is,soep-is-2012-haupt,Q120a,hkgeb,H12_IS_W4,hkgebe,
soep-is,soep-is-2012-haupt,Q120a,hkgeb,H12_IS_W4,hkgebf,
soep-is,soep-is-2012-haupt,Q120a,hkgeb,H12_IS_W4,hkgebc,
soep-is,soep-is-2012-haupt,Q120a,hkgeb,H12_IS_W4,hkgeba,
soep-is,soep-is-2012-haupt,Q120a,hkgeb,H12_IS_W4,hkgebd,
soep-is,soep-is-2012-haupt,Q120a,hkgeb,H12_IS_W4,hkgebb,
soep-is,soep-is-2012-haupt,Q120a,hknam,H12_IS_W4,hknama,
soep-is,soep-is-2012-haupt,Q120a,hknam,H12_IS_W4,hkname,
soep-is,soep-is-2012-haupt,Q120a,hknam,H12_IS_W4,hknamb,
soep-is,soep-is-2012-haupt,Q120a,hknam,H12_IS_W4,hknamf,
soep-is,soep-is-2012-haupt,Q120a,hknam,H12_IS_W4,hknamc,
soep-is,soep-is-2012-haupt,Q120a,hknam,H12_IS_W4,hknamd,
soep-is,soep-is-2012-haupt,Q120a,hksex,H12_IS_W4,hksexc,
soep-is,soep-is-2012-haupt,Q120a,hksex,H12_IS_W4,hksexa,
soep-is,soep-is-2012-haupt,Q120a,hksex,H12_IS_W4,hksexe,
soep-is,soep-is-2012-haupt,Q120a,hksex,H12_IS_W4,hksexb,
soep-is,soep-is-2012-haupt,Q120a,hksex,H12_IS_W4,hksexf,
soep-is,soep-is-2012-haupt,Q120a,hksex,H12_IS_W4,hksexd,
soep-is,soep-is-2012-haupt,Q120b,,H12_IS_W4,hkmoe,
soep-is,soep-is-2012-haupt,Q120b,,H12_IS_W4,hkmob,
soep-is,soep-is-2012-haupt,Q120b,,H12_IS_W4,hkmod,
soep-is,soep-is-2012-haupt,Q120b,,H12_IS_W4,hkmoc,
soep-is,soep-is-2012-haupt,Q120b,,H12_IS_W4,hkmof,
soep-is,soep-is-2012-haupt,Q120b,,H12_IS_W4,hkmoa,
soep-is,soep-is-2012-haupt,Q122,,P12_IS_W4,pbet,
soep-is,soep-is-2012-haupt,Q123,awoch,MA12_IS_W4,awoch,
soep-is,soep-is-2012-haupt,Q124A,agro,MA12_IS_W4,agro,
soep-is,soep-is-2012-haupt,Q124B,akop,MA12_IS_W4,akop,
