study,questionnaire,answer_list,value,label,label_de
soep-is,soep-is-2011,q135,2,Secondary General School (Hauptschule),Hauptschule
soep-is,soep-is-2011,q135,3,Intermediate School (Realschule),Realschule
soep-is,soep-is-2011,q135,4,Upper Secondary (Gymnasium),Gymnasium
soep-is,soep-is-2011,q135,5,Comprehensive School (Gesamtschule),Gesamtschule
soep-is,soep-is-2011,q135,6,Vocational School (Berufsschule),Berufsschule
soep-is,soep-is-2011,q135,7,Other,Sonstige Schule
soep-is,soep-is-2011,q136,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q136,1,Yes,Ja
soep-is,soep-is-2011,q136,2,No,Nein
soep-is,soep-is-2011,q13701,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q13701,1,Yes,Ja
soep-is,soep-is-2011,q13701,2,No,Nein
soep-is,soep-is-2011,q139,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q139,1,1  Absolutly does not apply,1 Trifft überhaupt nicht zu
soep-is,soep-is-2011,q139,2,2,2
soep-is,soep-is-2011,q139,3,3,3
soep-is,soep-is-2011,q139,4,4,4
soep-is,soep-is-2011,q139,5,5,5
soep-is,soep-is-2011,q139,6,6,6
soep-is,soep-is-2011,q139,7,7  Fully applies,7 Trifft voll zu
soep-is,soep-is-2011,q141,-2,No answer,Keine Angabe
soep-is,soep-is-2011,q141,1,Yes,Ja
soep-is,soep-is-2011,q141,2,No,Nein
soep-is,soep-is-2011,q143,1,1,1
soep-is,soep-is-2011,q143,2,2,2
soep-is,soep-is-2011,q143,3,3,3
soep-is,soep-is-2011,q143,4,4,4
soep-is,soep-is-2011,q143,5,5,5
soep-is,soep-is-2011,q143,6,6,6
soep-is,soep-is-2011,q143,7,7,7
soep-is,soep-is-2011,q143,8,8,8
soep-is,soep-is-2011,q143,9,9,9
soep-is,soep-is-2011,q143,10,10,10
soep-is,soep-is-2011,q143,11,11,11
soep-is,soep-is-2011,q144,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q144,1,1= Not at all,1 überhaupt nicht
soep-is,soep-is-2011,q144,2,2,2
soep-is,soep-is-2011,q144,3,3,3
soep-is,soep-is-2011,q144,4,4,4
soep-is,soep-is-2011,q144,5,5,5
soep-is,soep-is-2011,q144,6,6,6
soep-is,soep-is-2011,q144,7,7= Fully,7 Voll und ganz
soep-is,soep-is-2011,q145,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q145,1,1= Excluded,1 Ausgeschlossen
soep-is,soep-is-2011,q145,2,2,2
soep-is,soep-is-2011,q145,3,3,3
soep-is,soep-is-2011,q145,4,4,4
soep-is,soep-is-2011,q145,5,5,5
soep-is,soep-is-2011,q145,6,6,6
soep-is,soep-is-2011,q145,7,7= Absolutely sure,7 Ganz sicher
soep-is,soep-is-2011,q145,8,Already acquired degree,Abschluß schon erworben
soep-is,soep-is-2011,q14501,1,0 Does not apply at all,0 Trifft überhaupt nicht zu
soep-is,soep-is-2011,q14501,2,1,1
soep-is,soep-is-2011,q14501,3,2,2
soep-is,soep-is-2011,q14501,4,3,3
soep-is,soep-is-2011,q14501,5,4,4
soep-is,soep-is-2011,q14501,6,5 Fully applies,5 Trifft voll und ganz zu
soep-is,soep-is-2011,q14501,7,No answer,Keine Angabe
soep-is,soep-is-2011,q147b,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q147b,1,Yes,Ja
soep-is,soep-is-2011,q147b,2,No,Nein
soep-is,soep-is-2011,q147d,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q147d,1,Yes,Ja
soep-is,soep-is-2011,q147d,2,No,Nein
soep-is,soep-is-2011,q148,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q148,1,Yes,Ja
soep-is,soep-is-2011,q148,2,No,Nein
soep-is,soep-is-2011,q149,-1,No answer,Keine Angabe
soep-is,soep-is-2011,q149,1,"Yes, maternity leave","Ja, Mutterschutz"
soep-is,soep-is-2011,q149,2,"Yes, parental leave","Ja, Elternzeit"
soep-is,soep-is-2011,q149,3,No,Nein
soep-is,soep-is-2011,q15,1,A residential area with mostly old houses,Ein reines Wohngebiet mit überwiegend Altbauten
soep-is,soep-is-2011,q15,2,A residential area with mostly newer houses,Ein reines Wohngebiet mit überwiegend Neubauten
soep-is,soep-is-2011,q15,3,"A residential and commercial area with flats, houses, shops and businesses",Ein Mischgebiet mit Wohnungen und Geschäften bzw. Gewerbebetrieben
soep-is,soep-is-2011,q15,4,"A commercial area (shops, banks, offices) with few flats","Ein Geschäftszentrum (Läden, Banken, Verwaltungen) mit wenigen Wohnungen"
