study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,DRM12_IS,q11drm_1_1,,,,,,,,
soep-is,DRM12_IS,q11drm_1_10,,,,,,,,
soep-is,DRM12_IS,q11drm_1_2,,,,,,,,
soep-is,DRM12_IS,q11drm_1_3,,,,,,,,
soep-is,DRM12_IS,q11drm_1_4,,,,,,,,
soep-is,DRM12_IS,q11drm_1_5,,,,,,,,
soep-is,DRM12_IS,q11drm_1_6,,,,,,,,
soep-is,DRM12_IS,q11drm_1_7,,,,,,,,
soep-is,DRM12_IS,q11drm_1_8,,,,,,,,
soep-is,DRM12_IS,q11drm_1_9,,,,,,,,
soep-is,DRM12_IS,q11drm_20_1,,,,,,,,
soep-is,DRM12_IS,q11drm_20_10,,,,,,,,
soep-is,DRM12_IS,q11drm_20_2,,,,,,,,
soep-is,DRM12_IS,q11drm_20_3,,,,,,,,
soep-is,DRM12_IS,q11drm_20_4,,,,,,,,
soep-is,DRM12_IS,q11drm_20_5,,,,,,,,
soep-is,DRM12_IS,q11drm_20_6,,,,,,,,
soep-is,DRM12_IS,q11drm_20_7,,,,,,,,
soep-is,DRM12_IS,q11drm_20_8,,,,,,,,
soep-is,DRM12_IS,q11drm_20_9,,,,,,,,
soep-is,DRM12_IS,q11drm_21_1,,,,,,,,
soep-is,DRM12_IS,q11drm_21_10,,,,,,,,
soep-is,DRM12_IS,q11drm_21_2,,,,,,,,
soep-is,DRM12_IS,q11drm_21_3,,,,,,,,
soep-is,DRM12_IS,q11drm_21_4,,,,,,,,
soep-is,DRM12_IS,q11drm_21_5,,,,,,,,
soep-is,DRM12_IS,q11drm_21_6,,,,,,,,
soep-is,DRM12_IS,q11drm_21_7,,,,,,,,
soep-is,DRM12_IS,q11drm_21_8,,,,,,,,
soep-is,DRM12_IS,q11drm_21_9,,,,,,,,
soep-is,DRM12_IS,q11drm_22_1,,,,,,,,
soep-is,DRM12_IS,q11drm_22_10,,,,,,,,
soep-is,DRM12_IS,q11drm_22_2,,,,,,,,
