study,dataset,variable,label,concept,questionnaire,question,item,is_primary_key,basket_key,basket_is_default
soep-is,drm12_is_w4,q10drm_13,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_14,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_15,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_16,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_17,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_18,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_19,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_2,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_20,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_21,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_22,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_23,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_24,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_25,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_26,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_27,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_28,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_29,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_3,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_30,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_4,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_5,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_6,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_7,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_8,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q10drm_9,,"",soep-is-2012-haupt,Q245,,,,false
soep-is,drm12_is_w4,q11drm_10_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_10_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_11_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_12_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_13_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_14_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_15_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_16_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_17_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_18_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_19_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_1_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_20_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_21_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_22_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_23_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_24_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_25_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_26_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_27_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_28_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_29_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_2_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_30_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_3_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_4_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_5_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_6_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_7_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_8_9,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_1,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_10,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_2,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_3,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_4,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_5,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_6,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_7,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_8,,"",,,,,,false
soep-is,drm12_is_w4,q11drm_9_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_5,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_6,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_7,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_8,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_10_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_5,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_6,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_7,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_8,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_11_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_5,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_6,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_7,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_8,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_12_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_5,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_6,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_7,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_8,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_13_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_5,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_6,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_7,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_8,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_14_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_5,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_6,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_7,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_8,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_15_9,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_1,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_10,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_11,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_12,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_13,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_2,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_3,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_4,,"",,,,,,false
soep-is,drm12_is_w4,q12drm_16_5,,"",,,,,,false
