study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,DRM12_IS_W4,q7drm_19s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_1s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_20s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_21s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_22s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_23s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_24s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_25s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_26s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_27s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_28s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_29s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_2s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_30s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_3s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_4s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_5s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_6s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_7s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_8s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q7drm_9s,,,soep-is-2012-haupt,q7drm_s,Q7drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_10e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_11e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_12e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_13e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_14e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_15e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_16e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_17e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_18e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_19e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_1e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_20e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_21e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_22e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_23e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_24e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_25e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_26e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_27e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_28e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_29e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_2e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_30e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_3e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_4e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_5e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_6e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_7e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_8e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q8drm_9e,,,soep-is-2012-haupt,q8drm_e,Q8drm,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_1,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_10,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_11,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_12,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_13,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_14,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_15,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_16,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_17,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_18,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_19,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_2,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_20,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_21,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_22,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_23,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_24,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_25,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_26,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_27,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_28,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_29,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_3,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_30,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_4,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_5,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_6,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_7,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_8,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,q9drm_9,,,soep-is-2012-haupt,q9drm,Q244,,,,,,raw,2012
soep-is,DRM12_IS_W4,respid,,,,respid,,,,,,,raw,2012
soep-is,DRM12_IS_W4,stichu,,,,stichu,,,,,,,raw,2012
soep-is,DRM12_IS_W4,urhh,,,,urhh,,,,,,,raw,2012
soep-is,H12_IS_W4,film01,,,soep-is-2012-haupt,film01,Q5_1,,,,,,raw,2012
soep-is,H12_IS_W4,film02,,,soep-is-2012-haupt,film02,Q5_2,,,,,,raw,2012
soep-is,H12_IS_W4,film02o,,,soep-is-2012-haupt,film02o,Q5_2.1,,,,,,raw,2012
soep-is,H12_IS_W4,film03,,,soep-is-2012-haupt,film03,Q5_3,,,,,,raw,2012
soep-is,H12_IS_W4,film0401,,,soep-is-2012-haupt,film0401,Q5_4,film0401,,,,,raw,2012
soep-is,H12_IS_W4,film0402,,,soep-is-2012-haupt,film0402,Q5_4,film0402,,,,,raw,2012
soep-is,H12_IS_W4,film0403,,,soep-is-2012-haupt,film0403,Q5_4,film0403,,,,,raw,2012
soep-is,H12_IS_W4,film0404,,,soep-is-2012-haupt,film0404,Q5_4,film0404,,,,,raw,2012
soep-is,H12_IS_W4,film05,,,soep-is-2012-haupt,film05,Q5_5,,,,,,raw,2012
soep-is,H12_IS_W4,hdag1,,,soep-is-2012-haupt,hdag1,Q36,hdag1,,,,,raw,2012
soep-is,H12_IS_W4,hdag2,,,soep-is-2012-haupt,hdag2,Q40,hdag2,,,,,raw,2012
soep-is,H12_IS_W4,hdatj,,,,hdatj,,,,,,,raw,2012
soep-is,H12_IS_W4,hdatm,,,,hdatm,,,,,,,raw,2012
soep-is,H12_IS_W4,hdatt,,,,hdatt,,,,,,,raw,2012
soep-is,H12_IS_W4,hdgs1,,,soep-is-2012-haupt,hdgs1,Q36,hdgs1,,,,,raw,2012
soep-is,H12_IS_W4,hdgs2,,,soep-is-2012-haupt,hdgs2,Q43,hdgs2,,,,,raw,2012
soep-is,H12_IS_W4,hdkg1,,,soep-is-2012-haupt,hdkg1,Q36,hdkg1,,,,,raw,2012
soep-is,H12_IS_W4,hdkg2,,,soep-is-2012-haupt,hdkg2,Q37,hdkg2,,,,,raw,2012
soep-is,H12_IS_W4,hdkg3,,,soep-is-2012-haupt,hdkg3,Q38,hdkg3,,,,,raw,2012
soep-is,H12_IS_W4,hdkz1,,,soep-is-2012-haupt,hdkz1,Q36,hdkz1,,,,,raw,2012
soep-is,H12_IS_W4,hdkz2,,,soep-is-2012-haupt,hdkz2,Q39,hdkz2,,,,,raw,2012
soep-is,H12_IS_W4,hdpg1,,,soep-is-2012-haupt,hdpg1,Q36,hdpg1,,,,,raw,2012
soep-is,H12_IS_W4,hdpg2,,,soep-is-2012-haupt,hdpg2,Q41,hdpg2,,,,,raw,2012
soep-is,H12_IS_W4,hdsh1,,,soep-is-2012-haupt,hdsh1,Q36,hdsh1,,,,,raw,2012
soep-is,H12_IS_W4,hdsh2,,,soep-is-2012-haupt,hdsh2,Q42,hdsh2,,,,,raw,2012
soep-is,H12_IS_W4,hdwg1,,,soep-is-2012-haupt,hdwg1,Q36,hdwg1,,,,,raw,2012
soep-is,H12_IS_W4,hdwg2,,,soep-is-2012-haupt,hdwg2,Q44,hdwg2,,,,,raw,2012
soep-is,H12_IS_W4,he01,,,soep-is-2012-haupt,he01,Q20,,,,,,raw,2012
soep-is,H12_IS_W4,he02,,,soep-is-2012-haupt,he02,Q21,,,,,,raw,2012
soep-is,H12_IS_W4,he03,,,soep-is-2012-haupt,he03,Q23,,,,,,raw,2012
soep-is,H12_IS_W4,he05,,,soep-is-2012-haupt,he05,Q24,he05,,,,,raw,2012
soep-is,H12_IS_W4,he06,,,soep-is-2012-haupt,he06,Q25,,,,,,raw,2012
soep-is,H12_IS_W4,he07,,,soep-is-2012-haupt,he07,Q26,he07,,,,,raw,2012
soep-is,H12_IS_W4,hform,,,,hform,,,,,,,raw,2012
soep-is,H12_IS_W4,hheim,,,soep-is-2012-haupt,hheim,Q10,,,,,,raw,2012
soep-is,H12_IS_W4,hhtyp,,,soep-is-2012-haupt,hhtyp,Q9,,,,,,raw,2012
soep-is,H12_IS_W4,hintnr,,,,hintnr,,,,,,,raw,2012
soep-is,H12_IS_W4,hkgeba,,,soep-is-2012-haupt,hkgeb,Q120a,hkgeb,,,,,raw,2012
soep-is,H12_IS_W4,hkgebb,,,soep-is-2012-haupt,hkgeb,Q120a,hkgeb,,,,,raw,2012
soep-is,H12_IS_W4,hkgebc,,,soep-is-2012-haupt,hkgeb,Q120a,hkgeb,,,,,raw,2012
soep-is,H12_IS_W4,hkgebd,,,soep-is-2012-haupt,hkgeb,Q120a,hkgeb,,,,,raw,2012
soep-is,H12_IS_W4,hkgebe,,,soep-is-2012-haupt,hkgeb,Q120a,hkgeb,,,,,raw,2012
soep-is,H12_IS_W4,hkgebf,,,soep-is-2012-haupt,hkgeb,Q120a,hkgeb,,,,,raw,2012
soep-is,H12_IS_W4,hkind,,,soep-is-2012-haupt,hkind,Q119,,,,,,raw,2012
soep-is,H12_IS_W4,hkmoa,,,soep-is-2012-haupt,hkmo,Q120b,,,,,,raw,2012
soep-is,H12_IS_W4,hkmob,,,soep-is-2012-haupt,hkmo,Q120b,,,,,,raw,2012
soep-is,H12_IS_W4,hkmoc,,,soep-is-2012-haupt,hkmo,Q120b,,,,,,raw,2012
soep-is,H12_IS_W4,hkmod,,,soep-is-2012-haupt,hkmo,Q120b,,,,,,raw,2012
soep-is,H12_IS_W4,hkmoe,,,soep-is-2012-haupt,hkmo,Q120b,,,,,,raw,2012
soep-is,H12_IS_W4,hkmof,,,soep-is-2012-haupt,hkmo,Q120b,,,,,,raw,2012
soep-is,H12_IS_W4,hknama,,,soep-is-2012-haupt,hknam,Q120a,hknam,,,,,raw,2012
soep-is,H12_IS_W4,hknamb,,,soep-is-2012-haupt,hknam,Q120a,hknam,,,,,raw,2012
soep-is,H12_IS_W4,hknamc,,,soep-is-2012-haupt,hknam,Q120a,hknam,,,,,raw,2012
soep-is,H12_IS_W4,hknamd,,,soep-is-2012-haupt,hknam,Q120a,hknam,,,,,raw,2012
soep-is,H12_IS_W4,hkname,,,soep-is-2012-haupt,hknam,Q120a,hknam,,,,,raw,2012
soep-is,H12_IS_W4,hknamf,,,soep-is-2012-haupt,hknam,Q120a,hknam,,,,,raw,2012
soep-is,H12_IS_W4,hknra,,,,hknra,,,,,,,raw,2012
soep-is,H12_IS_W4,hknrb,,,,hknrb,,,,,,,raw,2012
soep-is,H12_IS_W4,hknrc,,,,hknrc,,,,,,,raw,2012
soep-is,H12_IS_W4,hknrd,,,,hknrd,,,,,,,raw,2012
soep-is,H12_IS_W4,hknre,,,,hknre,,,,,,,raw,2012
soep-is,H12_IS_W4,hknrf,,,,hknrf,,,,,,,raw,2012
soep-is,H12_IS_W4,hkred1,,,soep-is-2012-haupt,hkred1,Q31,,,,,,raw,2012
soep-is,H12_IS_W4,hkred2,,,soep-is-2012-haupt,hkred2,Q32,hkred2,,,,,raw,2012
soep-is,H12_IS_W4,hksexa,,,soep-is-2012-haupt,hksex,Q120a,hksex,,,,,raw,2012
soep-is,H12_IS_W4,hksexb,,,soep-is-2012-haupt,hksex,Q120a,hksex,,,,,raw,2012
soep-is,H12_IS_W4,hksexc,,,soep-is-2012-haupt,hksex,Q120a,hksex,,,,,raw,2012
soep-is,H12_IS_W4,hksexd,,,soep-is-2012-haupt,hksex,Q120a,hksex,,,,,raw,2012
soep-is,H12_IS_W4,hksexe,,,soep-is-2012-haupt,hksex,Q120a,hksex,,,,,raw,2012
soep-is,H12_IS_W4,hksexf,,,soep-is-2012-haupt,hksex,Q120a,hksex,,,,,raw,2012
soep-is,H12_IS_W4,hm01,,,soep-is-2012-haupt,hm01,Q14,,,,,,raw,2012
soep-is,H12_IS_W4,hm04,,,soep-is-2012-haupt,hm04,Q15,hm04,,,,,raw,2012
soep-is,H12_IS_W4,hm05,,,soep-is-2012-haupt,hm05,Q15,hm05,,,,,raw,2012
soep-is,H12_IS_W4,hm06,,,soep-is-2012-haupt,hm06,Q16,,,,,,raw,2012
soep-is,H12_IS_W4,hm09,,,soep-is-2012-haupt,hm09,Q17,,,,,,raw,2012
soep-is,H12_IS_W4,hm10,,,soep-is-2012-haupt,hm10,Q18,hm10,,,,,raw,2012
soep-is,H12_IS_W4,hm11,,,soep-is-2012-haupt,hm11,Q18,hm11,,,,,raw,2012
soep-is,H12_IS_W4,hnetto,,,soep-is-2012-haupt,hnetto,Q45,hnetto,,,,,raw,2012
soep-is,H12_IS_W4,hnr,,,,hnr,,,,,,,raw,2012
soep-is,H12_IS_W4,hpfleg,,,soep-is-2012-haupt,hpfleg,Q52,,,,,,raw,2012
soep-is,H12_IS_W4,hpl,,,soep-is-2012-haupt,hpl,Q53,,,,,,raw,2012
soep-is,H12_IS_W4,hpmax,,,,hpmax,,,,,,,raw,2012
soep-is,H12_IS_W4,hpstuf,,,soep-is-2012-haupt,hpl,Q53,,,,,,raw,2012
soep-is,H12_IS_W4,hqm,,,soep-is-2012-haupt,hqm,Q13,,,,,,raw,2012
soep-is,H12_IS_W4,hspar1,,,soep-is-2012-haupt,hspar1,Q51,,,,,,raw,2012
soep-is,H12_IS_W4,hspar2,,,soep-is-2012-haupt,hspar2,Q51,hspar2,,,,,raw,2012
soep-is,H12_IS_W4,hverm1,,,soep-is-2012-haupt,hverm1,Q27,,,,,,raw,2012
soep-is,H12_IS_W4,hverm2,,,soep-is-2012-haupt,hverm2,Q28,hverm2,,,,,raw,2012
soep-is,H12_IS_W4,hverm3,,,soep-is-2012-haupt,hverm3,Q29,,,,,,raw,2012
soep-is,H12_IS_W4,hverm4,,,soep-is-2012-haupt,hverm4,Q30,hverm4,,,,,raw,2012
soep-is,H12_IS_W4,hverm7,,,soep-is-2012-haupt,hverm7,Q3502,,,,,,raw,2012
soep-is,H12_IS_W4,hvj,,,soep-is-2012-haupt,hvj,Q7,,,,,,raw,2012
soep-is,H12_IS_W4,hwa,,,soep-is-2012-haupt,hwa,Q33,,,,,,raw,2012
soep-is,H12_IS_W4,hwj,,,soep-is-2012-haupt,hwj,Q8,hwj,,,,,raw,2012
soep-is,H12_IS_W4,hwm,,,soep-is-2012-haupt,hwm,Q8,hwm,,,,,raw,2012
soep-is,H12_IS_W4,hwohn09,,,soep-is-2012-haupt,hwohn09,Q11,,,,,,raw,2012
soep-is,H12_IS_W4,hwohn09a,,,soep-is-2012-haupt,hwohn09a,Q12.1,,,,,,raw,2012
soep-is,H12_IS_W4,hzahl,,,soep-is-2012-haupt,hzahl,Q19,,,,,,raw,2012
soep-is,H12_IS_W4,hzahl1,,,soep-is-2012-haupt,hzahl1,Q22,,,,,,raw,2012
soep-is,H12_IS_W4,hzins1,,,soep-is-2012-haupt,hzins1,Q34,hzins1,,,,,raw,2012
soep-is,H12_IS_W4,hzins2,,,soep-is-2012-haupt,hzins2,Q35,,,,,,raw,2012
soep-is,H12_IS_W4,jahr,,,,jahr,,,,,,,raw,2012
soep-is,H12_IS_W4,name,,,soep-is-2012-haupt,name,A000C,name,,,,,raw,2012
soep-is,H12_IS_W4,pnr,,,,pnr,,,,,,,raw,2012
soep-is,H12_IS_W4,respid,,,,respid,,,,,,,raw,2012
soep-is,H12_IS_W4,stichu,,,,stichu,,,,,,,raw,2012
soep-is,H12_IS_W4,urhh,,,,urhh,,,,,,,raw,2012
soep-is,H12_IS_W4,znetto,,,soep-is-2012-haupt,znettox1,Q46,,,,,,raw,2012
soep-is,HBRU2011i,bik,,,,bik,,,,,,,raw,2011
soep-is,HBRU2011i,bula,,,,bula,,,,,,,raw,2011
soep-is,HBRU2011i,bula_sta,,,,bula_sta,,,,,,,raw,2011
soep-is,HBRU2011i,datumja,,,,datumja,,,,,,,raw,2011
soep-is,HBRU2011i,datummo,,,,datummo,,,,,,,raw,2011
soep-is,HBRU2011i,datumtg,,,,datumtg,,,,,,,raw,2011
soep-is,HBRU2011i,ggk,,,,ggk,,,,,,,raw,2011
soep-is,HBRU2011i,gkz,,,,gkz,,,,,,,raw,2011
soep-is,HBRU2011i,gtyp,,,,gtyp,,,,,,,raw,2011
soep-is,HBRU2011i,hadq,,,,hadq,,,,,,,raw,2011
soep-is,HBRU2011i,hand,,,,hand,,,,,,,raw,2011
soep-is,HBRU2011i,hhgr,,,,hhgr,,,,,,,raw,2011
soep-is,HBRU2011i,hnr,,,,hnr,,,,,,,raw,2011
soep-is,HBRU2011i,hpmax,,,,hpmax,,,,,,,raw,2011
soep-is,HBRU2011i,htyp,,,,htyp,,,,,,,raw,2011
soep-is,HBRU2011i,inteinsatz,,,,inteinsatz,,,,,,,raw,2011
soep-is,HBRU2011i,mailjanein,,,,mailjanein,,,,,,,raw,2011
soep-is,HBRU2011i,nach,,,,nach,,,,,,,raw,2011
soep-is,HBRU2011i,plz,,,,plz,,,,,,,raw,2011
soep-is,HBRU2011i,regbez,,,,regbez,,,,,,,raw,2011
soep-is,HBRU2011i,regbez_sta,,,,regbez_sta,,,,,,,raw,2011
soep-is,HBRU2011i,stich,,,,stich,,,,,,,raw,2011
soep-is,HBRU2011i,stichu,,,,stichu,,,,,,,raw,2011
soep-is,HBRU2011i,teljanein,,,,teljanein,,,,,,,raw,2011
soep-is,HBRU2011i,urhh,,,,urhh,,,,,,,raw,2011
soep-is,HBRU2011i,w11hader,,,,w11hader,,,,,,,raw,2011
soep-is,HBRU2011i,w11herg1,,,,w11herg1,,,,,,,raw,2011
soep-is,HBRU2011i,w11hergs,,,,w11hergs,,,,,,,raw,2011
soep-is,HBRU2011i,w11hfor1,,,,w11hfor1,,,,,,,raw,2011
soep-is,HBRU2011i,w11hfors,,,,w11hfors,,,,,,,raw,2011
soep-is,HBRU2011i,w11hstu,,,,w11hstu,,,,,,,raw,2011
soep-is,HBRU2011i,w11intk,,,,w11intk,,,,,,,raw,2011
soep-is,HBRU2011i,w11intnr,,,,w11intnr,,,,,,,raw,2011
soep-is,HBRU2011i,w11intza,,,,w11intza,,,,,,,raw,2011
soep-is,HBRU2011i,w11schk,,,,w11schk,,,,,,,raw,2011
soep-is,HBRU2011i,w11split,,,,w11split,,,,,,,raw,2011
soep-is,HBRU2011i,w11telk1,,,,w11telk1,,,,,,,raw,2011
soep-is,HBRU2011i,w11telk2,,,,w11telk2,,,,,,,raw,2011
soep-is,HBRU2011i,wein,,,,wein,,,,,,,raw,2011
soep-is,HBRU2011i,wum1,,,,wum1,,,,,,,raw,2011
soep-is,HBRU2011i,wum2,,,,wum2,,,,,,,raw,2011
soep-is,HBRU2011i,wum3,,,,wum3,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,auto,,,,auto,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,beruprob,,,,beruprob,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,hnr,,,,hnr,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,isco88,,,,isco88,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,kennung,,,,kennung,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,pnr,,,,pnr,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,pnrfest,,,,pnrfest,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,stba,,,,stba,,,,,,,raw,2011
soep-is,INNO2011_BERUFE_MC_ISCO,urhh,,,,urhh,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,auto,,,,auto,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,branman,,,,branman,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,branprob,,,,branprob,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,hnr,,,,hnr,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,kennung,,,,kennung,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,nace,,,,nace,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,pnr,,,,pnr,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,pnrfest,,,,pnrfest,,,,,,,raw,2011
soep-is,INNO2011_BRANCHEN_NACE,urhh,,,,urhh,,,,,,,raw,2011
soep-is,Innomodul11,datj,,,,datj,,,,,,,raw,2011
soep-is,Innomodul11,datm,,,,datm,,,,,,,raw,2011
soep-is,Innomodul11,datt,,,,datt,,,,,,,raw,2011
soep-is,Innomodul11,hnr,,,,hnr,,,,,,,raw,2011
soep-is,Innomodul11,ieb_iat_1,,,soep-is-2011,ieb_iat_1,Q11113,ieb_iat_1,,,,,raw,2011
soep-is,Innomodul11,ieb_iat_2,,,soep-is-2011,ieb_iat_2,Q11113,ieb_iat_2,,,,,raw,2011
soep-is,Innomodul11,ieb_iat_3,,,soep-is-2011,ieb_iat_3,Q11114,,,,,,raw,2011
soep-is,Innomodul11,ieb_iat_3o,,,soep-is-2011,ieb_iat_3o,Q11114,1,,,,,raw,2011
soep-is,Innomodul11,ieigiat01,,,soep-is-2011,ieigiat01,Q55,ieigiat01,,,,,raw,2011
soep-is,Innomodul11,ieigiat02,,,soep-is-2011,ieigiat02,Q55,ieigiat02,,,,,raw,2011
soep-is,Innomodul11,ieigiat03,,,soep-is-2011,ieigiat03,Q55,ieigiat03,,,,,raw,2011
soep-is,Innomodul11,ieigiat04,,,soep-is-2011,ieigiat04,Q55,ieigiat04,,,,,raw,2011
soep-is,Innomodul11,ieigiat_split01,,,,ieigiat_split01,,,,,,,raw,2011
soep-is,Innomodul11,ieigiat_split02,,,,ieigiat_split02,,,,,,,raw,2011
soep-is,Innomodul11,ifrber01,,,soep-is-2011,ifrber01,Q204,ifrber01,,,,,raw,2011
soep-is,Innomodul11,ifrber02,,,soep-is-2011,ifrber02,Q204,ifrber02,,,,,raw,2011
soep-is,Innomodul11,ifrber03,,,soep-is-2011,ifrber03,Q204,ifrber03,,,,,raw,2011
