study,dataset,variable,label,concept,questionnaire,search,question,item,is_primary_key,basket_key,basket_is_default,,conceptual_dataset,period
soep-is,MEM12_IS,mem0904ag,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904ah,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904ai,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904aj,,,soep-is-2012-aufwuchs,mem0904a,Q200,mem0904a,,,,,,
soep-is,MEM12_IS,mem0904b,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904c,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904d,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904e,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904f,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904g,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904h,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904i,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0904j,,,soep-is-2012-aufwuchs,mem0904,Q199,mem0904,,,,,,
soep-is,MEM12_IS,mem0905a,,,soep-is-2012-aufwuchs,mem0905,Q199,mem0905,,,,,,
soep-is,MEM12_IS,mem0905aa,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905ab,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905ac,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905ad,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905ae,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
soep-is,MEM12_IS,mem0905af,,,soep-is-2012-aufwuchs,mem0905a,Q200,mem0905a,,,,,,
